X,Y,Fractal Dimension
0,0,0
0,1,1.6107539743148018
0,2,1.9378130621117706
0,3,1.9401797116101973
0,4,1.653194498267721
0,5,0
0,6,0
0,7,0
0,8,0
0,9,1.773155299657159
0,10,1.8480104548458067
0,11,1.8663992498754345
0,12,1.9855808637970624
0,13,1.8812503373849774
0,14,1.8303960113486386
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,1.7637130852556038
0,45,1.8866611349817914
0,46,1.5556713265744757
0,47,0
0,48,1.8233010000185619
0,49,1.7896660868030871
1,0,1.8658689895302207
1,1,1.5919360471686004
1,2,1.8560010660805963
1,3,1.878828805807076
1,4,1.790196243968396
1,5,1.9177356205414287
1,6,1.7120486442592113
1,7,0
1,8,0
1,9,1.629729264112254
1,10,1.8865256753064112
1,11,1.847886508468928
1,12,1.893814164422225
1,13,1.84312652565354
1,14,1.8186075428545343
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
1,20,0
1,21,0
1,22,0
1,23,0
1,24,0
1,25,0
1,26,0
1,27,0
1,28,0
1,29,0
1,30,0
1,31,0
1,32,0
1,33,0
1,34,0
1,35,0
1,36,0
1,37,0
1,38,0
1,39,0
1,40,0
1,41,0
1,42,0
1,43,0
1,44,1.7419444819665328
1,45,1.9050984441948484
1,46,1.7373086029590152
1,47,0
1,48,1.7397167979581805
1,49,1.496443319729182
2,0,1.8564604059246095
2,1,1.8721535273612047
2,2,1.8958693723419
2,3,0
2,4,1.7770490247701731
2,5,1.8004903843691804
2,6,0
2,7,0
2,8,0
2,9,1.7268005355353813
2,10,1.8343178380447527
2,11,1.8626318262840205
2,12,1.679263828043574
2,13,0
2,14,0
2,15,0
2,16,0
2,17,0
2,18,0
2,19,0
2,20,0
2,21,0
2,22,0
2,23,0
2,24,0
2,25,0
2,26,0
2,27,0
2,28,0
2,29,0
2,30,0
2,31,0
2,32,0
2,33,0
2,34,0
2,35,0
2,36,0
2,37,0
2,38,0
2,39,0
2,40,0
2,41,0
2,42,0
2,43,0
2,44,1.8844916083095924
2,45,1.8779679667820541
2,46,0
2,47,0
2,48,0
2,49,0
3,0,1.7675748696041769
3,1,1.884062708640635
3,2,1.856483063929293
3,3,0
3,4,0
3,5,0
3,6,0
3,7,1.671374409623939
3,8,1.878161994232688
3,9,1.772333307513854
3,10,1.744973743005954
3,11,0
3,12,0
3,13,0
3,14,1.8152437858335684
3,15,0
3,16,0
3,17,0
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
3,23,0
3,24,0
3,25,0
3,26,0
3,27,0
3,28,0
3,29,0
3,30,0
3,31,1.7325775060388926
3,32,1.8203955616369414
3,33,0
3,34,0
3,35,0
3,36,0
3,37,0
3,38,0
3,39,0
3,40,0
3,41,0
3,42,0
3,43,0
3,44,1.7780851846176913
3,45,0
3,46,0
3,47,1.7912997105349737
3,48,0
3,49,0
4,0,0
4,1,1.6583578027677375
4,2,1.6517760404688397
4,3,1.7056010532167143
4,4,1.7948359503389753
4,5,1.892495055910022
4,6,1.5673408018572352
4,7,1.7847090084312278
4,8,1.9598128487158624
4,9,1.9604730651055344
4,10,1.8595907554008826
4,11,1.673151322489584
4,12,0
4,13,1.5670718288964378
4,14,1.8279119664329622
4,15,0
4,16,0
4,17,0
4,18,0
4,19,0
4,20,0
4,21,0
4,22,0
4,23,0
4,24,0
4,25,0
4,26,0
4,27,0
4,28,0
4,29,0
4,30,0
4,31,1.7797449430646783
4,32,1.5767850935021746
4,33,0
4,34,0
4,35,0
4,36,0
4,37,0
4,38,0
4,39,0
4,40,0
4,41,0
4,42,0
4,43,0
4,44,0
4,45,0
4,46,1.3332990835758922
4,47,1.895935280576322
4,48,0
4,49,0
5,0,0
5,1,1.6193973319166552
5,2,0
5,3,0
5,4,1.7564131466827844
5,5,1.7393211356098317
5,6,0
5,7,1.3529405338249885
5,8,1.7603196481614107
5,9,1.80919549440653
5,10,1.8112400516783531
5,11,1.872542830614838
5,12,1.821719840335783
5,13,0
5,14,0
5,15,0
5,16,0
5,17,0
5,18,0
5,19,0
5,20,0
5,21,0
5,22,0
5,23,0
5,24,0
5,25,0
5,26,0
5,27,0
5,28,0
5,29,0
5,30,0
5,31,0
5,32,0
5,33,0
5,34,0
5,35,0
5,36,0
5,37,0
5,38,0
5,39,0
5,40,0
5,41,0
5,42,1.7724796382259318
5,43,1.8380977927621442
5,44,0
5,45,0
5,46,1.7951213114709896
5,47,1.7383210298552185
5,48,0
5,49,0
6,0,0
6,1,1.6129139205173997
6,2,1.889153852826513
6,3,1.545079584957798
6,4,0
6,5,0
6,6,0
6,7,0
6,8,0
6,9,0
6,10,0
6,11,1.821989817685155
6,12,1.8638470978129802
6,13,1.8175018557943436
6,14,1.7391463246250671
6,15,0
6,16,0
6,17,0
6,18,0
6,19,0
6,20,0
6,21,0
6,22,0
6,23,0
6,24,0
6,25,0
6,26,0
6,27,0
6,28,0
6,29,0
6,30,0
6,31,0
6,32,0
6,33,0
6,34,0
6,35,0
6,36,0
6,37,0
6,38,0
6,39,0
6,40,0
6,41,0
6,42,1.7202937203833324
6,43,1.9264345612221982
6,44,0
6,45,0
6,46,1.7612432809332763
6,47,1.5365315615751407
6,48,0
6,49,0
7,0,0
7,1,1.9119002715542146
7,2,1.8670628888124814
7,3,1.5238409228920946
7,4,0
7,5,0
7,6,0
7,7,0
7,8,0
7,9,0
7,10,0
7,11,0
7,12,1.6698745673868427
7,13,1.896561138898758
7,14,1.7850220456734402
7,15,0
7,16,0
7,17,0
7,18,0
7,19,0
7,20,0
7,21,0
7,22,0
7,23,0
7,24,0
7,25,0
7,26,0
7,27,0
7,28,0
7,29,0
7,30,0
7,31,0
7,32,0
7,33,0
7,34,0
7,35,0
7,36,0
7,37,0
7,38,1.8371128544090185
7,39,0
7,40,0
7,41,1.7791802044767724
7,42,1.8144800062190871
7,43,0
7,44,0
7,45,0
7,46,0
7,47,0
7,48,0
7,49,0
8,0,1.6896068849462489
8,1,1.8669630500562828
8,2,1.5767850935021746
8,3,1.8172248157438036
8,4,0
8,5,0
8,6,0
8,7,0
8,8,0
8,9,0
8,10,0
8,11,0
8,12,0
8,13,1.5767850935021737
8,14,1.8973819172397832
8,15,1.8570992999004414
8,16,0
8,17,0
8,18,0
8,19,0
8,20,0
8,21,0
8,22,0
8,23,0
8,24,0
8,25,0
8,26,0
8,27,0
8,28,0
8,29,0
8,30,0
8,31,0
8,32,0
8,33,0
8,34,0
8,35,0
8,36,0
8,37,1.5496540710282214
8,38,1.7917011116417323
8,39,0
8,40,1.6871306038760103
8,41,1.8389581860000994
8,42,1.779220993504401
8,43,0
8,44,1.572437297144561
8,45,1.833267853845214
8,46,0
8,47,0
8,48,0
8,49,0
9,0,0
9,1,1.4807582145467413
9,2,0
9,3,0
9,4,0
9,5,0
9,6,0
9,7,0
9,8,0
9,9,0
9,10,0
9,11,0
9,12,0
