X,Y,Fractal Dimension
0,0,0
0,1,1.7652127245557607
0,2,1.9503368126065772
0,3,1.9391139066368503
0,4,1.678966883858692
0,5,0
0,6,0
0,7,1.7780716272038877
0,8,1.7554086285743447
0,9,1.6772729775365107
0,10,1.8940265384863642
0,11,1.9111756561978093
0,12,1.9855808637970624
0,13,1.9039140167001312
0,14,1.778275005957088
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,1.7637130852556038
0,45,1.8938328496279517
0,46,1.5556713265744757
0,47,0
0,48,1.8655783252922546
0,49,1.8800473830905544
1,0,1.8658689895302207
1,1,1.5919360471686004
1,2,1.9074955252235544
1,3,1.878828805807076
1,4,1.852471675061263
1,5,1.9177356205414287
1,6,1.7120486442592113
1,7,0
1,8,0
1,9,1.8069767179551115
1,10,1.9331450124920695
1,11,1.8806189584778452
1,12,1.893814164422225
1,13,1.9001057627770992
1,14,1.793298350280085
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
1,20,0
1,21,0
1,22,0
1,23,0
1,24,0
1,25,0
1,26,0
1,27,0
1,28,0
1,29,0
1,30,0
1,31,0
1,32,0
1,33,0
1,34,0
1,35,0
1,36,0
1,37,0
1,38,0
1,39,0
1,40,0
1,41,0
1,42,0
1,43,0
1,44,1.7419444819665328
1,45,1.9044379728008622
1,46,1.7373086029590152
1,47,0
1,48,1.8295349335774789
1,49,1.8338175815579083
2,0,1.8564604059246095
2,1,1.8910504662905678
2,2,1.8719926582864077
2,3,1.4927076970129904
2,4,1.8147020058517886
2,5,1.7760459889407885
2,6,0
2,7,0
2,8,0
2,9,1.7268005355353813
2,10,1.8327385400491711
2,11,1.8626318262840205
2,12,1.7818388618686274
2,13,1.8078230203170673
2,14,1.6713744096239396
2,15,0
2,16,0
