X,Y,Fractal Dimension
0,0,0
0,1,1.5517992260808409
0,2,1.6761643567881863
0,3,1.6552394638264718
0,4,1.5317129926384538
0,5,0
0,6,1.648174688499783
0,7,1.6869426880485936
0,8,1.6782793498733346
0,9,1.631664926750348
0,10,1.6761643567881863
0,11,1.6761643567881863
0,12,1.6761643567881863
0,13,1.6674204530903307
0,14,1.6597438781026082
0,15,1.8423845306951077
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,1.630563428754671
0,45,1.7250743703766536
0,46,0
0,47,0
0,48,1.7802886550113732
0,49,1.6872400742168894
1,0,1.573478017283562
1,1,0.6999999999999996
1,2,1.7454884619009419
1,3,1.5722807531169538
1,4,1.7408695132947596
1,5,1.9016068298963784
1,6,1.3590431108171275
1,7,0
1,8,0
1,9,1.8072494213304
1,10,1.6969513578901414
1,11,1.670353525755004
1,12,1.6761643567881863
1,13,1.6337561412922788
1,14,1.7455130525381177
1,15,1.18317030992143
1,16,0
1,17,0
1,18,0
1,19,0
1,20,0
1,21,0
1,22,0
1,23,0
1,24,0
1,25,0
1,26,0
1,27,0
1,28,0
1,29,0
1,30,0
1,31,0
1,32,0
1,33,0
1,34,0
1,35,0
1,36,0
1,37,0
1,38,0
1,39,0
1,40,0
1,41,0
1,42,0
1,43,0
1,44,1.7346606068603012
1,45,1.6478248229104688
1,46,1.3740729439166803
1,47,0
1,48,1.6080684829029883
1,49,1.3003869231979057
2,0,1.6264291395223818
2,1,1.879333235519073
2,2,1.6912127487052946
2,3,0
2,4,2.018350131139092
2,5,1.6505354903155627
2,6,0
2,7,0
2,8,0
2,9,1.599553162805613
2,10,1.7158763072468428
2,11,1.8287233280169257
2,12,1.6590772614869744
2,13,1.6664119860004436
2,14,0
2,15,0
2,16,0
2,17,0
2,18,0
2,19,0
2,20,0
2,21,0
2,22,0
2,23,0
2,24,0
2,25,0
2,26,0
2,27,0
2,28,0
2,29,0
2,30,0
2,31,0
2,32,0
2,33,0
2,34,0
2,35,0
2,36,0
2,37,0
2,38,0
2,39,0
2,40,0
2,41,0
2,42,0
2,43,0
2,44,1.7431996730698327
2,45,1.609873943560559
2,46,0.6999999999999996
2,47,0
2,48,0
2,49,0
3,0,1.6273850982306794
3,1,1.6761643567881863
3,2,1.7076871255508075
3,3,1.2751753251439326
3,4,0
3,5,0
3,6,0
3,7,1.439874369193818
3,8,1.8250256775476503
3,9,2.022894342985248
3,10,1.5332106498907896
3,11,0
3,12,0
3,13,1.4769720781722528
3,14,1.857017071854573
3,15,0
3,16,0
3,17,0
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
3,23,0
3,24,0
3,25,0
3,26,0
3,27,0
3,28,0
3,29,0
3,30,0
3,31,0
3,32,1.7111563621503243
3,33,0
3,34,0
3,35,0
3,36,0
3,37,0
3,38,0
3,39,0
3,40,0
3,41,0
3,42,0
3,43,0
3,44,1.7628360096886835
3,45,0
3,46,0
3,47,1.5007651475991497
3,48,1.0495855026887173
3,49,0
4,0,0
4,1,1.2869143975081745
4,2,1.1784634845557518
4,3,1.8277920368797416
4,4,1.8890596788267857
4,5,1.824336558023494
4,6,0
4,7,1.7224350318552017
4,8,1.6761643567881863
4,9,1.705809745110824
4,10,1.8812608525036132
4,11,1.680645731930869
4,12,0
4,13,0
4,14,1.5878338349895191
4,15,0
4,16,0
4,17,0
4,18,0
4,19,0
4,20,0
4,21,0
4,22,0
4,23,0
4,24,0
4,25,0
4,26,0
4,27,0
4,28,0
4,29,0
4,30,0
4,31,1.4797724844997955
4,32,0.616992500144231
4,33,0
4,34,0
4,35,0
4,36,0
4,37,0
4,38,0
4,39,0
4,40,0
4,41,0
4,42,0
4,43,0
4,44,0
4,45,0
4,46,0
4,47,1.7416063526803403
4,48,1.097727992349991
4,49,0
5,0,0
5,1,1.5325797326866413
5,2,0
5,3,1.5065920955947527
5,4,1.6884647521936673
5,5,1.4570804437724492
5,6,0
5,7,0.8232820621053379
5,8,1.6884647521936673
5,9,1.5985543730127216
5,10,1.6884647521936673
5,11,1.7478452770010597
5,12,1.6835737921455733
5,13,0
5,14,0
5,15,0
5,16,0
5,17,0
5,18,0
5,19,0
5,20,0
5,21,0
5,22,0
5,23,0
5,24,0
5,25,0
5,26,0
5,27,0
5,28,0
5,29,0
5,30,0
5,31,0
5,32,0
5,33,0
5,34,0
5,35,0
5,36,0
5,37,0
5,38,0
5,39,0
5,40,0
5,41,0
5,42,1.558049412877729
5,43,1.7038304593130091
5,44,0
5,45,0
5,46,1.4370505787238663
5,47,1.389006631726865
5,48,0
5,49,0
6,0,0
6,1,1.8001957897215561
6,2,1.7353328728781112
6,3,1.8020182391697859
6,4,0
6,5,0
6,6,0
6,7,0
6,8,0
6,9,0
6,10,0
6,11,1.599553162805613
6,12,1.725713817172349
6,13,1.6506555530751321
6,14,1.6913372523225194
6,15,0
6,16,0
6,17,0
6,18,0
6,19,0
6,20,0
6,21,0
6,22,0
6,23,0
6,24,0
6,25,0
6,26,0
6,27,0
6,28,0
6,29,0
6,30,0
6,31,0
6,32,0
6,33,0
6,34,0
6,35,0
6,36,0
6,37,0
6,38,0
6,39,0
6,40,0
6,41,0
6,42,1.8001957897215557
6,43,1.613508298045493
6,44,0
6,45,0
6,46,1.7103629315110462
6,47,0.8339850002884623
6,48,0
6,49,0
7,0,1.7135709286104388
7,1,1.6761643567881863
7,2,1.7351550564046259
7,3,1.5044735626056898
7,4,0
7,5,0
7,6,0
7,7,0
7,8,0
7,9,0
7,10,0
7,11,0
7,12,1.51357092861044
7,13,1.7377142262149452
7,14,1.7021795476724095
7,15,2.045963413119284
7,16,0
7,17,0
7,18,0
7,19,0
7,20,0
7,21,0
7,22,0
7,23,0
7,24,0
7,25,0
7,26,0
7,27,0
7,28,0
7,29,0
7,30,0
7,31,0
7,32,0
7,33,0
7,34,0
7,35,0
7,36,0
7,37,0
7,38,1.8952786740132197
7,39,1.3037032104123527
7,40,0
7,41,1.7802886550113732
7,42,1.5928588870984302
7,43,0
7,44,0
7,45,0
7,46,1.2955286645524466
7,47,0
7,48,0
