X,Y,Fractal Dimension
0,0,0.7151467149708883
0,1,1.2223288051753143
0,2,0.5488388316700954
0,3,0.6455347433670285
0,4,1.748856864519421
0,5,1.3636591486842595
0,6,0.193546923169098
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0.21001478257246325
0,18,0.8425863938772065
0,19,0.4481533883537383
1,0,0.5912715402934446
1,1,0.38758528049685853
1,2,0.2538893687866823
1,3,0.9121621959436992
1,4,0.3899728379309373
1,5,0.41320966413496535
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0.13373356925288093
1,13,-0.24660273246526798
1,14,0
1,15,0
1,16,0
1,17,0.3763184342300885
1,18,-0.034031038938091666
1,19,0.40592096440173797
2,0,0.47708475534429556
2,1,0.44831366752646584
2,2,0.16376147548396375
2,3,0.21729442988674924
2,4,0.619246116884536
2,5,0.5497475796817195
2,6,-0.15655049314889274
2,7,0
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
2,14,0
2,15,0.07098282595755787
2,16,-0.011193941209055045
2,17,0.5169092892003112
2,18,0.3717747799470359
2,19,-1.0845284335001455
3,0,0.6601327787133454
3,1,0.34447161349725886
3,2,0
3,3,0
3,4,0
3,5,0.7703374502539134
3,6,0.7802810851847004
3,7,0
3,8,0
3,9,0
3,10,0
3,11,0
3,12,0
3,13,0
3,14,-0.08708364920674276
3,15,0.34292575146820153
3,16,0.6877617489806511
3,17,-0.2150336220083752
3,18,0.28815708311029475
3,19,0.3446118625913332
4,0,0
4,1,0.276105980639272
4,2,0.6199158244523035
4,3,0
4,4,-0.17473324497344778
4,5,0.6794461781610766
4,6,0.7105088694178606
4,7,0
4,8,0
4,9,0
4,10,0
4,11,0
4,12,0
4,13,0.16846407205904126
4,14,0.26252120006784924
4,15,0.8118920175405544
4,16,-0.6012367783941496
4,17,0.6248458586163583
4,18,0
4,19,0.10522581329496537
5,0,0.07618604985026411
5,1,0.1413009484443461
5,2,0
5,3,0
5,4,0
5,5,0.5394096917192696
5,6,0.5034359397513584
5,7,0.4325504183806033
5,8,0
5,9,0
5,10,0
5,11,0.4783956916284195
5,12,0
5,13,0.6466354335125164
5,14,1.0782905706184183
5,15,1.0314659645401243
5,16,1.0687143048501984
5,17,0.35865186246115016
5,18,0.3267927803835441
5,19,0
6,0,-0.031475699176941534
6,1,0.10246791356164704
6,2,0
6,3,0
6,4,0
6,5,0.33580648265492585
6,6,0.6002478116218278
6,7,1.317761407789535
6,8,0.5968750514129795
6,9,0
6,10,-0.2925112156949511
6,11,-0.04873891987517831
6,12,0.8697259291806447
6,13,1.4805837092592924
6,14,0.45127554760752836
6,15,0.6087669360976227
6,16,0.11696630080561068
6,17,0.18926910997922772
6,18,0.10535871188575902
6,19,0
7,0,0
7,1,0
7,2,0
7,3,0
7,4,0
7,5,0
7,6,0.7413267497362299
7,7,1.6226982005122275
7,8,0.5350907830489416
7,9,0
7,10,0.6293491167784793
7,11,1.1013793807826695
7,12,1.6442272661064914
7,13,0.02350643778197961
7,14,0.8137291185837546
7,15,0.5511387986919617
7,16,-0.6649935283629019
7,17,0
7,18,0
7,19,0
8,0,0.006797988990946267
8,1,0
8,2,0
8,3,0
8,4,0
8,5,0
8,6,0.6826910466898839
8,7,1.7664940256750623
8,8,1.4891550089147316
8,9,0.7890482070207817
8,10,1.6283436656347083
8,11,1.210030627539082
8,12,0.5380011783239275
8,13,0.8264145974774323
8,14,0.5050236959592455
8,15,0.12727462382768623
8,16,0.21055126741924363
8,17,-0.4974196056140078
8,18,0
8,19,0
9,0,0
9,1,0
9,2,0.837113983906519
9,3,0.1885424035929653
9,4,0
9,5,-0.29804489932671185
9,6,0.33699520553026435
9,7,0.9919137264092062
9,8,1.856168594465472
9,9,1.825195534599978
9,10,1.81161643614086
9,11,0.9711556056258097
9,12,0.5183321361562359
9,13,0.12107736025739854
9,14,0.4608843576396722
9,15,-0.6986100932575294
9,16,0
9,17,0
9,18,0
9,19,0
10,0,0
10,1,-0.29602658261562464
10,2,0.004111851698242461
10,3,0
10,4,-0.43136724146626976
10,5,0.21636864003248055
10,6,0.16284231435086113
10,7,1.332191972355743
10,8,1.8027584798030116
10,9,1.8760746949086582
10,10,1.4271647908629377
10,11,0.37960499985203916
10,12,-0.37111318815059724
10,13,0.4477456565491863
10,14,0
10,15,0
10,16,0
10,17,0
10,18,0
10,19,0
11,0,0
11,1,0.30763975736159416
11,2,-0.1693501884704257
11,3,-0.13681359109259134
11,4,0.2577311160404632
11,5,0
11,6,0
11,7,0.845314379992489
11,8,1.8760346508647476
11,9,1.8489841186541416
11,10,0.6485626388603816
11,11,0.5815454308472114
11,12,0.17510299374635735
11,13,1.1214847781204351
11,14,0.425621506263197
11,15,0
11,16,0
11,17,0
11,18,0
11,19,0
12,0,0
12,1,0.3427736727799776
12,2,-0.8566285570947979
12,3,0.6273293116466897
12,4,0.5024457902532673
12,5,0
12,6,0.23604596748652915
12,7,1.0180768314303292
12,8,1.0060949535961015
12,9,0.35249963933332873
12,10,0.6985989944565733
12,11,0.45136626029485727
12,12,0.5885713910191757
12,13,0.4782119628434753
12,14,0
12,15,0
12,16,0
12,17,0
12,18,0
12,19,0
13,0,0
13,1,0
13,2,-0.07147734013759025
13,3,0.3161626896717628
13,4,0
13,5,0
13,6,0.7189917617072722
13,7,0.932368966733203
13,8,0.6711708190563065
13,9,0.8298363294602734
13,10,0.2617369236422883
13,11,0.1624225901950899
13,12,0.7943206952994288
13,13,0
13,14,0.2948451536295334
13,15,0
13,16,-0.029249701184441156
13,17,-1.285349988402438
13,18,0
13,19,0
14,0,0
14,1,-0.5022332668266007
14,2,0.40718356388136623
14,3,-0.06326948124502145
14,4,0
14,5,0
14,6,0.27336698854109936
14,7,0.8722754526627603
14,8,0.40521224177712406
14,9,1.0175315791036488
14,10,0.49740137647570154
14,11,0.17015371390839173
14,12,0
14,13,0
14,14,0.10184735621678886
14,15,0.021879222172322285
14,16,0.2647731963209095
14,17,-0.8566285570947979
14,18,0
14,19,0
15,0,0
15,1,0.14320275647720307
15,2,0.9805093698314549
15,3,0
15,4,0
15,5,0.5194669120831135
15,6,0.4367179407818605
15,7,0.2434654901335362
15,8,0.6233410559331137
15,9,0.4088987522860329
15,10,1.0564251455307343
15,11,0
15,12,0
15,13,0
15,14,-0.25055697416181205
15,15,0.2592128887874385
15,16,0
15,17,0
15,18,0
15,19,0.28675265774300196
16,0,0
16,1,0.05095806613114753
16,2,0.15229992653153446
16,3,0
16,4,0
16,5,0
16,6,0.9917901434730989
16,7,0.3341642769252034
16,8,0.1594161286978776
16,9,-0.3980897529875338
16,10,0.5071080475017248
16,11,0
16,12,0.17547714839383646
16,13,-0.43278452682672036
16,14,-0.2631413026076288
16,15,0
16,16,0
16,17,0
16,18,0
16,19,-0.07255327033285214
17,0,-0.20234659429945143
17,1,0.5083530913283866
17,2,0
17,3,0
17,4,-0.6772343664717274
17,5,0.3985678327798739
17,6,0.2558823112656168
17,7,0.4170747392111514
17,8,0.18182014201600047
17,9,0
17,10,-0.07599754254490647
17,11,0
17,12,0
17,13,0
17,14,0
17,15,0
17,16,0
17,17,0
17,18,0
17,19,-0.36481029061016457
18,0,0
18,1,0
18,2,0
18,3,0
18,4,0.18644481789187645
18,5,0.2783207724058394
18,6,0
18,7,0.2448907335577173
18,8,-0.6886470948940387
18,9,-1.2505462252936295
18,10,0.09801562329569127
18,11,0
18,12,0
18,13,0
18,14,0
18,15,0
18,16,0
18,17,0
18,18,0
18,19,0
19,0,0
19,1,0
19,2,0
19,3,0.007496983928153222
19,4,0
19,5,0
19,6,0
19,7,0
19,8,0
19,9,0.30000233414629995
19,10,0
19,11,0
19,12,0
19,13,0
19,14,0
19,15,0
19,16,0
19,17,0
19,18,0
19,19,0
